Date,Station-ERA5-RHmin,Station-PRISM-RHmin,PRISM-ERA5-RHmin
2015-05,0.9114596304876449,0.8171369577358277,0.8034962276019438
2015-06,0.9207182318971819,0.8574914239040698,0.8533899357104342
2015-07,0.9017489110547621,0.8412935197694829,0.8208235838945781
2015-08,0.9134229724085585,0.8480503034971909,0.838333312325085
2015-09,0.9257631602161155,0.8420853465246695,0.8422504367910265
2016-05,0.8066003850199585,0.9587890857394775,0.8270228111803929
2016-06,0.804625993607834,0.971148957293874,0.8051090912778419
2016-07,0.845405373509548,0.9775016690343202,0.8469605187869766
2016-08,0.8529253237145621,0.9805307299907406,0.8577655241586606
2016-09,0.8033446422800768,0.9760530074863786,0.803634972410325
2017-05,0.9141882506373098,0.7954774485690729,0.7981130027134622
2017-06,0.9303062690350383,0.864481651848428,0.8578623020324082
2017-07,0.9139948667656344,0.8693275348472302,0.8544267902017321
2017-08,0.9197883110247441,0.8505038602750534,0.8444163747875336
2017-09,0.9201128597933129,0.8244595111626386,0.8208639279036349
2018-05,0.922534317984312,0.8344577649013409,0.8305897558737054
2018-06,0.927839003306343,0.8533966759844844,0.8449064084540927
2018-07,0.9143795725790267,0.8617775125016361,0.8437058705239369
2018-08,0.9266200696761225,0.8724138540089035,0.8622871470534463
2018-09,0.9415204294973476,0.8870012852417261,0.8879948429479448
2019-05,0.9043481186850366,0.7837033231895879,0.7836332123677332
2019-06,0.9119134550792977,0.8299255829598988,0.8232788852305314
2019-07,0.9079498172414874,0.8591333982035289,0.8383580333754129
2019-08,0.9208575051264892,0.8553393907726036,0.8474053423645869
2019-09,0.9086498909046813,0.7971096926389608,0.797229809430419
2020-05,0.8610228235348287,0.9753370397458936,0.8573718668451735
2020-06,0.8443846552557772,0.9676136078997126,0.8416976842531662
2020-07,0.8475255848948043,0.9814736957067687,0.8472730884277527
2020-08,0.8723311867802651,0.9826293111848597,0.8713037741672272
2020-09,0.8711989448995066,0.9746701273484255,0.881498677893561
