Date,Station-ERA5-Tmax,Station-PRISM-Tmax,PRISM-ERA5-Tmax
2015-05,0.9477004373087882,0.8359605949867579,0.8472586798501067
2015-06,0.9475568832874358,0.8748873769772194,0.8751740724372108
2015-07,0.9305811583942333,0.8690699548225236,0.8679251552496298
2015-08,0.9381235187900706,0.8698944308625316,0.8726456295622
2015-09,0.9499487498257086,0.8586148637755481,0.8711258937596318
2016-05,0.8323935896913006,0.9689635603281616,0.8620735603490732
2016-06,0.8486273006620807,0.9743730381859929,0.865407789441924
2016-07,0.8656188568570149,0.9790528912984477,0.881591641084329
2016-08,0.8195579609747148,0.9706291566389912,0.8506452899035928
2016-09,0.8481049407702576,0.9744111123551906,0.8690519498325889
2017-05,0.9619383382607241,0.860279571467187,0.8717558519630016
2017-06,0.9490210139738413,0.8778967181654355,0.8797692827522905
2017-07,0.9314656938810466,0.877683118235861,0.8676899722203247
2017-08,0.9355217063298134,0.87426831106846,0.8686523419523569
2017-09,0.9605812533864796,0.8743490227727115,0.8865925901874929
2018-05,0.9446731370151434,0.8431695162518981,0.8518241039843512
2018-06,0.9494313356186874,0.8650613522286196,0.8718557661266689
2018-07,0.9268333320347049,0.8706527461981258,0.8583776920803685
2018-08,0.9338878092643663,0.8589761968141081,0.8565225318954368
2018-09,0.9576640378802318,0.8730959324949682,0.886334838676265
2019-05,0.9663127980215371,0.8817885008699672,0.8921149174406368
2019-06,0.9449459375184275,0.8653056145657547,0.8706078878162987
2019-07,0.9220210431434546,0.861949493990789,0.8523716327573564
2019-08,0.9421666518970714,0.8851551458549047,0.8847502601539455
2019-09,0.9643237817848588,0.8821772650109623,0.891383750618048
2020-05,0.8630609426314834,0.9760116411639689,0.8805849797696009
2020-06,0.8285195502427405,0.9629902536971531,0.8632378283260225
2020-07,0.8496069268933336,0.9783808014999094,0.8638927910640816
2020-08,0.8629523051705892,0.976732020553374,0.8757832241707959
2020-09,0.8254259968412934,0.9619801935327594,0.8687267402996052
