Date,Station-ERA5-Tmax,Station-PRISM-Tmax,PRISM-ERA5-Tmax
2015-05,0.7847731594217489,0.6275099485099921,0.6058176584849199
2015-06,0.9024392072126711,0.8121007233727687,0.8043636531434799
2015-07,0.9049839133107834,0.8294606441177548,0.8220415197258423
2015-08,0.9149169823856118,0.8309490902238371,0.8278548929752302
2015-09,0.8977528424329977,0.7806336808634579,0.782441340413718
2016-05,0.598162928883695,0.8484509219958096,0.7037775852175245
2016-06,0.7664296693641184,0.952828201238871,0.7911540479933938
2016-07,0.8189343580669293,0.9689478506539041,0.8370531706110318
2016-08,0.7677681823626207,0.952244266913595,0.8095763415459483
2016-09,0.7056905557163016,0.9419606293747285,0.7401155890327998
2017-05,0.8542566068543319,0.6760339858195726,0.678424973148398
2017-06,0.9111920753148972,0.8065504230015011,0.8048289570915645
2017-07,0.9089005649112303,0.8384383309637622,0.8258982893650628
2017-08,0.9048701216298431,0.8358920125747992,0.8217720937829277
2017-09,0.8809017492585203,0.7487337321045834,0.7422343912107665
2018-05,0.8692305769319686,0.7298456586502002,0.7263988518931495
2018-06,0.9083949365162626,0.7837987205036199,0.7871814159173685
2018-07,0.9086085299644754,0.8337871955623083,0.8189401366458888
2018-08,0.9036392026600963,0.8140316276889703,0.8021858414458415
2018-09,0.8835817808523718,0.7538401412770767,0.7557710244615532
2019-05,0.8596656799549359,0.6808770065086119,0.69974724085334
2019-06,0.8935017658863382,0.7890656601974377,0.7833085900485337
2019-07,0.8992836709424554,0.814874490521044,0.8016606589065688
2019-08,0.9193623938424654,0.8462955314696472,0.8400300604898223
2019-09,0.9055752614752253,0.7515363480720616,0.7578948408177255
2020-05,0.7334467203204402,0.9156473130178125,0.7550207527301471
2020-06,0.7038746325245939,0.9100095874842892,0.7678676005166778
2020-07,0.7929350085074697,0.9679624550871638,0.8095880939079104
2020-08,0.8267732746915487,0.9675251872427623,0.840912317080329
2020-09,0.7286198226160288,0.9007788012983345,0.8083847898982777
