Date,Station-ERA5-Bernard,Station-PRISM-Bernard,PRISM-ERA5-Bernard
2015-05,0.9125131331075099,0.6371836629614965,0.6517328517236278
2015-06,0.9276617717192042,0.7250315481941234,0.7246000566335312
2015-07,0.9373108560953177,0.7884766467216948,0.7943456645693796
2015-08,0.9362831041985196,0.7700528866468489,0.7825020023685316
2015-09,0.9457094838852576,0.7624601006800791,0.7624900868407952
2016-05,0.772266317549645,0.7835829799136935,0.7519718945271792
2016-06,0.8304208428250226,0.9012920715622261,0.7914591969211459
2016-07,0.872984350344417,0.9210348035561021,0.8205245686640491
2016-08,0.8620789222208373,0.9017801885090055,0.8084595858152424
2016-09,0.846124375855203,0.8871439046201883,0.7965554031926285
2017-05,0.9136427643637606,0.6515817315471614,0.666141665600366
2017-06,0.9218352404531063,0.718575750901862,0.7331108924547194
2017-07,0.9294386288728488,0.7852453282369962,0.7804645027139931
2017-08,0.93526055445284,0.7781002763595611,0.7738988392307918
2017-09,0.9196367044111736,0.6869779372273394,0.6961166735482495
2018-05,0.9248399226529415,0.6922907396079955,0.6944025261443789
2018-06,0.9367106557402689,0.7400035642202727,0.7526080755990746
2018-07,0.9187001313168284,0.7731934947340857,0.7881819632487785
2018-08,0.9392123444337155,0.7437912165957028,0.732598162635025
2018-09,0.9559723716997086,0.7153562766404997,0.7126015872034603
2019-05,0.9263809647570485,0.6519808071553752,0.6702165623923528
2019-06,0.9337495861634377,0.7526234314612911,0.7537706352391089
2019-07,0.9375719332230773,0.7933782685234381,0.7905961938553479
2019-08,0.9423046947212947,0.8021507292553691,0.7980483787699861
2019-09,0.9382486220866304,0.6882532719205491,0.7099435774423458
2020-05,0.8048971276627681,0.8078210668954076,0.7253985296793214
2020-06,0.7804136905883059,0.8471765042206749,0.7635350917921166
2020-07,0.8635595615827826,0.9044261033235488,0.8048813263130292
2020-08,0.8513262830980135,0.9015179496870286,0.7933055870225516
2020-09,0.7935097019802798,0.822073314647865,0.8049310497665855
