Date,Station-ERA5-RHmin,Station-PRISM-RHmin,PRISM-ERA5-RHmin
2015-05,0.9595354601101826,0.8437150179187314,0.860789978498635
2015-06,0.9505715545100879,0.8411526860959818,0.8473851737035943
2015-07,0.9404802102507599,0.844655103021508,0.8520358802185506
2015-08,0.9404499411315091,0.8319704277417239,0.8472960507564421
2015-09,0.9561570468898193,0.8515152511531594,0.8667945506735255
2016-05,0.8701037461622699,0.9481715747912525,0.8702861808466428
2016-06,0.8772698519633799,0.9470681657109705,0.8675188855935778
2016-07,0.8902577889349538,0.9467114779323363,0.8613257134764591
2016-08,0.8761097224267602,0.9325333556942245,0.8405140126450104
2016-09,0.890315636621093,0.9443443575920227,0.8789195668760211
2017-05,0.9649697933124948,0.8591635156761356,0.873796179170858
2017-06,0.952696619163255,0.8537462589436152,0.8632761771787639
2017-07,0.9325861201779253,0.8469041694272303,0.8440755931983785
2017-08,0.9390705557232991,0.8395055282037702,0.8417267928184631
2017-09,0.9650019536520027,0.8668606814230191,0.8844513802750639
2018-05,0.9522506492254653,0.837009585236961,0.8499730409113201
2018-06,0.9547437964988165,0.8501246399179929,0.8638573705685295
2018-07,0.9278721384725094,0.8324985777069323,0.8429888472711093
2018-08,0.9438317999223896,0.823116686438765,0.8206841585127456
2018-09,0.9679705950423143,0.861217106115937,0.870013893793795
2019-05,0.9724460798730571,0.8850171674500545,0.8953923091024932
2019-06,0.9511291294860176,0.8531441545930234,0.8677552052858528
2019-07,0.9403893325870694,0.8500337317471974,0.8512166845736053
2019-08,0.9445375030241883,0.8563573919549707,0.8628043692637484
2019-09,0.9676788613565113,0.8657997387080747,0.8790505768777955
2020-05,0.8810347890383937,0.9571903460572709,0.8760777509505115
2020-06,0.8536147959033309,0.940001236413746,0.8641525290050835
2020-07,0.8944710399723469,0.94023081643873,0.8638716749385977
2020-08,0.8671327073366114,0.9305707649086262,0.8382468458458143
2020-09,0.8402346578345076,0.9270330198612945,0.8549736839007362
