Date,Station-ERA5-RHmin,Station-PRISM-RHmin,PRISM-ERA5-RHmin
2015-05,0.8945451658340992,0.7521875344986994,0.7479747310266682
2015-06,0.9063566951622951,0.8161246848654877,0.8125788117154285
2015-07,0.8919236247653729,0.8174222455017939,0.8010229852226646
2015-08,0.9049601058625821,0.8297148819558072,0.8203861810558107
2015-09,0.9147098821486197,0.7927852478973363,0.8057181304699019
2016-05,0.7188656531028333,0.9360261035947346,0.7497604172961468
2016-06,0.7751690006863864,0.9594100860863668,0.7721220563457933
2016-07,0.8317354309378016,0.9704760688010317,0.835344084083605
2016-08,0.8359661493518026,0.9772383491665213,0.8389179760909851
2016-09,0.7602015473483958,0.9618514292581104,0.7628023051683006
2017-05,0.9079787516615179,0.7211408401532277,0.7285517759975049
2017-06,0.9179734752700591,0.8258800613069641,0.8208344675116294
2017-07,0.9090478515739041,0.85730290873271,0.8401345449621984
2017-08,0.9052359229453606,0.8140008184896815,0.8102821903344263
2017-09,0.9116266483802935,0.7727353146725653,0.783424986968431
2018-05,0.9097497156100697,0.7773485958409277,0.7718090499715035
2018-06,0.9178540773589244,0.8216953121083033,0.8169866727648992
2018-07,0.9077200039207752,0.8530521309778037,0.832808185223584
2018-08,0.9197545469377697,0.8483894824182034,0.8426520623430751
2018-09,0.9289489924028542,0.8443952190207253,0.8500697331212637
2019-05,0.8963588381058353,0.7253628478900819,0.7210843822975037
2019-06,0.8999298312549922,0.768296478366709,0.7660487038170761
2019-07,0.8987741033242961,0.846900406192152,0.8251032419873471
2019-08,0.909761768644557,0.8303587278204649,0.8218311640058242
2019-09,0.9067444532837997,0.764466212722368,0.7755185837957725
2020-05,0.7585024762468066,0.9367481618563287,0.7660737541798064
2020-06,0.8169576147374079,0.9575036525286704,0.8192029012829681
2020-07,0.8398553977044876,0.9797141840901158,0.8384730559377105
2020-08,0.8533682673737942,0.9789694301253969,0.8515820388454004
2020-09,0.8227017836668953,0.9676343200141406,0.8305385339440678
