STATE,state,year,wbgt_26_diff,wbgt_30_diff
AL,01,1982,3.198850124975934,0.011157295996499672
AL,01,1983,1.956586000045661,0.23616001991722269
AL,01,1984,5.664907046053692,0
AL,01,1985,3.875565781926923,0.08526647989052372
AL,01,1986,5.205546830895855,-0.10842032366952226
AL,01,1987,3.6599370176689945,0.28059324246450057
AL,01,1988,3.418614357760312,0.07085204595927906
AL,01,1989,4.985590002802887,0.08907071100311706
AL,01,1990,6.617680099515056,0.4193300272081184
AL,01,1991,6.25269001574182,0.05613026221208238
AL,01,1992,5.2291203685283065,0
AL,01,1993,4.042204821020405,0.6977380475163653
AL,01,1994,6.818093700314591,0
AL,01,1995,4.795542510365095,0.8324452683936858
AL,01,1996,5.3159074421624055,0.03389588824368553
AL,01,1997,4.042287905923175,0.46253851144375824
AL,01,1998,5.791055672238954,0.31188610140668627
AL,01,1999,2.4490671769161594,0.3892154108106256
AL,01,2000,5.041726599426255,0.3190710490173039
AL,01,2001,4.685258703084244,0.06128944050254488
AL,01,2002,6.276572085354161,0.046879394943275934
AL,01,2003,4.928638346217852,0
AL,01,2004,4.6062772843317745,0.02925274244460418
AL,01,2005,4.227901916239787,0.7983042768621129
AL,01,2006,4.733442933614967,0.04282875333723796
AL,01,2007,3.485345027608858,0.5079877533555622
AL,01,2008,6.79506853344639,0.0012922797068260637
AL,01,2009,4.659816235955482,0.004062880895083914
AL,01,2010,4.716759665930397,1.143641608663848
AL,01,2011,3.66581074576537,1.0433569270191385
AL,01,2012,2.5114398361723715,0.1351308285438018
AL,01,2013,4.384303405857999,0.059005531768603306
AL,01,2014,5.072369152387033,0
AL,01,2015,5.496134249494325,0.7431901477984617
AL,01,2016,5.857113969452357,0.29628580871384325
AL,01,2017,6.683442794589006,0.011126043066537488
AL,01,2018,7.517234523363385,0.3202687860851529
AL,01,2019,8.202772622371242,1.05343280182038
AL,01,2020,6.478260885303058,0.0684876198485938
AR,05,1982,3.9465559534567376,0.4232620282535309
AR,05,1983,3.1325078555151293,1.291942408556309
AR,05,1984,1.9715487522593307,0.009715924447982527
AR,05,1985,3.0950157972560604,0.4900718983849439
AR,05,1986,9.155417956077613,1.3077506167110684
AR,05,1987,6.341005063709176,1.37062660993002
AR,05,1988,2.8699452301117034,1.7641141674260534
AR,05,1989,2.8050534298172494,-0.5545834157390725
AR,05,1990,1.64969213436504,0.5917433881922352
AR,05,1991,5.548115748867588,0.09721566776781501
AR,05,1992,5.475489393306923,0.12458711703352822
AR,05,1993,5.237358134448002,0.05058060844267054
AR,05,1994,4.386341244110646,0.10357661306474503
AR,05,1995,3.260014644306466,1.2757953575875023
AR,05,1996,5.44054748250678,0.360916228045453
AR,05,1997,2.8038651190140413,0.522032636584556
AR,05,1998,5.6093046829827244,0.21557175467603162
AR,05,1999,3.8935884744498708,0.558999158602087
AR,05,2000,4.842713151446361,0.19708110782676158
AR,05,2001,2.940351440354597,0.08097077509659978
AR,05,2002,7.105105676433368,0.10250196481989152
AR,05,2003,3.1689964057864657,0.3656493655437312
AR,05,2004,4.077450393385973,0.061734424726456294
AR,05,2005,5.406214751527429,0.9446621109855464
AR,05,2006,2.826735143414524,-0.15426738126926898
AR,05,2007,6.803100451521594,0.2333145255868161
AR,05,2008,8.054783169662905,0.2835326447116566
AR,05,2009,3.7746202236863766,0.61155888414956
AR,05,2010,6.270284280302306,2.3218415515636366
AR,05,2011,1.6844167870096243,0.38018546166575007
AR,05,2012,0.8767225812734551,1.1079907121604147
AR,05,2013,5.005801197134865,0.07013966483357087
AR,05,2014,6.819077907114512,0.24054390515282736
AR,05,2015,7.730727906910076,2.2920552186548413
AR,05,2016,7.035344144742254,0.8488868217087226
AR,05,2017,6.066617979465683,0.2802345494612649
AR,05,2018,9.591107308509933,0.15640431774961305
AR,05,2019,6.538687600425362,0.09729747725498594
AR,05,2020,4.8746641881791675,-0.12614577294382312
AZ,04,1982,15.280989109454097,8.157337161568455
AZ,04,1983,16.34728164889019,8.186541610909995
AZ,04,1984,15.999047139307379,13.336309098555974
AZ,04,1985,11.2355375906439,2.2119514696990965
AZ,04,1986,14.221332749330841,9.145911445260213
AZ,04,1987,18.19090798379733,4.956014145865048
AZ,04,1988,13.78690594509176,6.564808570648374
AZ,04,1989,22.644150701679266,7.3641257110839025
AZ,04,1990,14.45119968657086,7.411112860881949
AZ,04,1991,22.048764465294084,2.768597037643445
AZ,04,1992,20.58580459721344,5.460082122445884
AZ,04,1993,11.314631700649073,5.49342189843396
AZ,04,1994,12.072603444973694,10.196938202398712
AZ,04,1995,9.361494962134103,4.883763473543107
AZ,04,1996,17.416021504136367,7.939438531873286
AZ,04,1997,10.613474372133766,5.1035295345181
AZ,04,1998,8.834980540615533,9.835311272248546
AZ,04,1999,13.253637637246811,11.350433200239536
AZ,04,2000,11.369614984590214,5.20006961116215
AZ,04,2001,12.212915691022673,4.456809713577782
AZ,04,2002,10.738810358455908,4.873458484860641
AZ,04,2003,16.02041733678591,9.11297808076818
AZ,04,2004,14.031571399065157,4.953101669208587
AZ,04,2005,14.23998354226947,6.3066261229208305
AZ,04,2006,10.855861151792539,5.133721176224579
AZ,04,2007,14.996738851356994,8.308630443862292
AZ,04,2008,10.678516217414582,6.222455525702172
AZ,04,2009,16.029823643390543,6.210501878019244
AZ,04,2010,6.7194657145945484,4.789871186107872
AZ,04,2011,14.536888551374176,6.559211673016744
AZ,04,2012,20.214442701657234,5.201565030692732
AZ,04,2013,13.281593368303533,4.844201760989306
AZ,04,2014,15.019585317050854,2.86034007145403
AZ,04,2015,14.172222546778912,4.337456743165906
AZ,04,2016,12.88578940807966,4.320449412758297
AZ,04,2017,10.289341852569237,5.558939212726887
AZ,04,2018,11.483036509104707,7.241966595158365
AZ,04,2019,11.763555706843377,7.153950092700809
AZ,04,2020,16.06186093855132,9.900073057853119
CA,06,1982,16.46568162277091,1.3402993999571635
CA,06,1983,18.068156382937236,0.42362596885619913
CA,06,1984,26.806913894601475,3.5744508299711293
CA,06,1985,16.95650565544807,0.5367159791242415
CA,06,1986,18.743641469749463,0.8640333257799612
CA,06,1987,18.550226513560453,0.936673675308991
CA,06,1988,18.801301490216026,1.82029927018935
CA,06,1989,14.812684103272344,1.3358009764199472
CA,06,1990,15.258489217911043,3.275363919141034
CA,06,1991,18.832685096647914,2.2768685597008433
CA,06,1992,17.63454183367459,2.4400332263508786
CA,06,1993,16.312718085655163,1.3532546808436925
CA,06,1994,15.046111728971113,3.1728056210647586
CA,06,1995,14.625618689915488,3.7284385693182878
CA,06,1996,18.536946437059758,5.156358410376554
CA,06,1997,17.288789743521935,3.3596688484578663
CA,06,1998,9.631619321261184,6.132858629538531
CA,06,1999,12.808336113527853,2.4410095557125144
CA,06,2000,18.475095778383803,3.7574491795615437
CA,06,2001,22.111980990292935,2.985236663907721
CA,06,2002,17.470829374430384,3.1870541437179942
CA,06,2003,22.900301755499743,3.871382346300317
CA,06,2004,17.404974237372993,2.6454060529764387
CA,06,2005,15.815146027366653,3.4938092545540282
CA,06,2006,14.703667269618983,4.771181627694452
CA,06,2007,11.185930944216414,4.01524577609165
CA,06,2008,17.054129242647065,3.095547112768694
CA,06,2009,21.005806174534595,2.485502027273783
CA,06,2010,10.579554704837403,2.4550083087796994
CA,06,2011,13.726467606102085,2.504331064344825
CA,06,2012,16.087028049353187,1.6934859650362688
CA,06,2013,18.639686694397064,2.5056476833568553
CA,06,2014,19.07998956596746,2.1307059379389037
CA,06,2015,17.05782278383009,2.0197651025897128
CA,06,2016,16.566341607540647,1.9118378603233401
CA,06,2017,19.42139987743154,3.2829742005445213
CA,06,2018,18.940115461667105,2.260430147279219
CA,06,2019,17.783805841202668,1.628718897807259
CA,06,2020,19.119571510043606,2.8973133452318396
CO,08,1982,3.7405660054285494,0
CO,08,1983,7.489432013680736,0
CO,08,1984,3.3175109270717638,0
CO,08,1985,4.232264541491381,0
CO,08,1986,3.1671461123413005,0
CO,08,1987,5.024971075847697,0
CO,08,1988,7.257755806046214,0
CO,08,1989,4.025693627856121,0
CO,08,1990,5.3013481796,0
CO,08,1991,5.240173626387616,0
CO,08,1992,1.7401670869145345,0
CO,08,1993,2.453150728386808,0
CO,08,1994,6.671229666963895,0
CO,08,1995,8.10626818767662,0
CO,08,1996,5.405068746614887,0.029962729258078975
CO,08,1997,4.278162826529273,0
CO,08,1998,6.2956615708755805,0
CO,08,1999,3.551589092218122,0
CO,08,2000,9.383956103907805,0
CO,08,2001,10.139324174718864,0
CO,08,2002,9.764863424274456,0
CO,08,2003,12.580741387334786,0
CO,08,2004,2.821478881437675,0
CO,08,2005,5.530585733461251,0
CO,08,2006,3.6623690886661566,0
CO,08,2007,4.898574285894693,0
CO,08,2008,4.101438301503003,0
CO,08,2009,2.0762408145652667,0
CO,08,2010,4.062662607317444,0
CO,08,2011,6.683512700075284,0
CO,08,2012,9.037655613774067,0
CO,08,2013,5.71958903640641,0
CO,08,2014,3.7395221227183715,0
CO,08,2015,3.841615801672857,0
CO,08,2016,5.645992425281109,0
CO,08,2017,3.907070301553465,0
CO,08,2018,4.1784753858657275,0
CO,08,2019,6.68291292373592,0
CO,08,2020,6.021995183782177,0
CT,09,1982,0.8775278351732929,0
CT,09,1983,3.5602825067464714,0
CT,09,1984,0.8843729863086489,0
CT,09,1985,0.9058947489221918,0
CT,09,1986,0.8698866700804431,0
CT,09,1987,2.148923721495814,0
CT,09,1988,3.143098525325817,0
CT,09,1989,1.17688294315393,0
CT,09,1990,1.51703924681363,0
CT,09,1991,2.169534750295478,0
CT,09,1992,0.8505202095851532,0
CT,09,1993,0.9650279542664828,0
CT,09,1994,1.2056897425080368,0.12837744215047803
CT,09,1995,1.7066249533096371,0
CT,09,1996,0.5218763795716446,0
CT,09,1997,1.9683114103660095,0
CT,09,1998,1.075084500070614,0
CT,09,1999,2.061839354487997,0.0024762769147774755
CT,09,2000,1.8401881905979227,0
CT,09,2001,2.4391245176593257,0
CT,09,2002,2.8028753017188315,0
CT,09,2003,0.4831416435755953,0
CT,09,2004,0.83868043736949,0
CT,09,2005,4.241040933634478,0
CT,09,2006,2.0753869859993612,0.4298877649993072
CT,09,2007,2.4699361947802423,0
CT,09,2008,1.2596723678549209,0
CT,09,2009,1.5733090844341509,0
CT,09,2010,3.1478165234807918,0
CT,09,2011,0.4910706299933172,0
CT,09,2012,1.7825793045592029,0
CT,09,2013,1.5312689459251825,0
CT,09,2014,1.7776778999060778,0
CT,09,2015,2.4933501115502796,0
CT,09,2016,2.250097634824324,0.06415408064292642
CT,09,2017,2.0284654214099143,0
CT,09,2018,2.8981898564748256,0
CT,09,2019,0.23248903543029975,0.06415408064292642
CT,09,2020,2.4273539709044663,0
DC,11,1982,-0.9393063583815042,0
DC,11,1983,-4.838150289017342,0
DC,11,1984,0.08092485549132888,0
DC,11,1985,0,0
DC,11,1986,-1,0
DC,11,1987,-1.9393063583815007,0
DC,11,1988,-0.9595375722543338,1
DC,11,1989,0.02023121387283311,-0.9797687861271677
DC,11,1990,0.02023121387283311,0
DC,11,1991,0,0
DC,11,1992,-0.9797687861271669,0
DC,11,1993,0.04046242774566622,0
DC,11,1994,-2.8786127167630085,0
DC,11,1995,3,0
DC,11,1996,0.02023121387283311,0
DC,11,1997,-1.9595375722543338,0
DC,11,1998,-0.8583815028901753,0
DC,11,1999,0.02023121387283311,0
