STATE,state,year,wbgt_26_prison,wbgt_28_prison,wbgt_30_prison,wbgt_35_prison,wbgt_26_state,wbgt_28_state,wbgt_30_state,wbgt_35_state,wbgt_26_diff,wbgt_28_diff,wbgt_30_diff,wbgt_35_diff
AL,01,1982,70.45210488483295,11.2335531456074,0.011157295996499672,0,67.25325475985701,10.088192120505598,0,0,3.198850124975934,1.1453610251018027,0.011157295996499672,0
AL,01,1983,58.177672906835014,23.84804825452386,1.5466137450385973,0,56.22108690678935,21.890994128263134,1.3104537251213746,0,1.956586000045661,1.9570541262607257,0.23616001991722269,0
AL,01,1984,52.47295058911773,5.705909929055849,0,0,46.80804354306404,3.9406331245321713,0,0,5.664907046053692,1.765276804523678,0,0
AL,01,1985,64.82248335781479,11.26546238709879,0.42769634653248745,0,60.946917575887866,9.166539837620222,0.34242986664196373,0,3.875565781926923,2.0989225494785675,0.08526647989052372,0
AL,01,1986,81.3374378848017,21.95968372034878,1.347251304809826,0,76.13189105390585,19.73253686786493,1.4556716284793483,0,5.205546830895855,2.227146852483852,-0.10842032366952226,0
AL,01,1987,64.18973653780041,25.26977529143357,0.41816420289402134,0,60.52979952013142,20.710239620488405,0.13757096042952074,0,3.6599370176689945,4.559535670945166,0.28059324246450057,0
AL,01,1988,63.832234271962996,15.389161483889115,0.10094696377785417,0,60.413619914202684,12.889172748242874,0.030094917818575106,0,3.418614357760312,2.499988735646241,0.07085204595927906,0
AL,01,1989,58.995468325155485,17.190674125699285,0.2384286026815014,0,54.0098783223526,13.720626990111505,0.14935789167838434,0,4.985590002802887,3.47004713558778,0.08907071100311706,0
AL,01,1990,79.69187736350283,27.391692971216052,0.6104634809513392,0,73.07419726398777,21.55463864070982,0.19113345374322077,0,6.617680099515056,5.837054330506234,0.4193300272081184,0
AL,01,1991,73.92593055598962,20.857986686251834,0.05613026221208238,0,67.6732405402478,16.03671219148527,0,0,6.25269001574182,4.821274494766563,0.05613026221208238,0
AL,01,1992,46.53051848610807,6.850798512360534,0,0,41.301398117579765,5.635146150205561,0,0,5.2291203685283065,1.215652362154973,0,0
AL,01,1993,75.71456699065537,24.61149482764009,1.7634465731162297,0,71.67236216963497,22.28535461755274,1.0657085255998644,0,4.042204821020405,2.326140210087349,0.6977380475163653,0
AL,01,1994,41.61290120948839,2.104697315373316,0,0,34.7948075091738,0.9645533139181016,0,0,6.818093700314591,1.1401440014552144,0,0
AL,01,1995,72.94621370753508,30.04266024939838,3.1019158046066817,0,68.15067119716998,25.266066142245393,2.269470536212996,0,4.795542510365095,4.776594107152988,0.8324452683936858,0
AL,01,1996,58.12126136825327,10.516548426414976,0.06800637559771229,0,52.805353926090866,9.092581287626105,0.03411048735402676,0,5.3159074421624055,1.4239671387888713,0.03389588824368553,0
AL,01,1997,58.04012876207145,15.357908553926931,1.306685001718911,0,53.99784085614827,13.113935303524434,0.8441464902751529,0,4.042287905923175,2.2439732504024974,0.46253851144375824,0
AL,01,1998,93.08794574491358,35.193268118886145,1.6108385161108854,0,87.29689007267463,33.379533366737036,1.298952414704199,0,5.791055672238954,1.8137347521491094,0.31188610140668627,0
AL,01,1999,62.050285964309154,24.732193643154044,4.613682532737444,0,59.601218787392995,23.59945315510274,4.224467121926819,0,2.4490671769161594,1.1327404880513043,0.3892154108106256,0
AL,01,2000,71.0246273088102,23.827608838328594,0.974185079851236,0,65.98290070938394,21.624533682765698,0.6551140308339322,0,5.041726599426255,2.203075155562896,0.3190710490173039,0
AL,01,2001,50.351407944494795,8.288745819920617,0.11419820608182017,0,45.66614924141055,6.577132325521742,0.05290876557927529,0,4.685258703084244,1.7116134943988754,0.06128944050254488,0
AL,01,2002,74.67300059380567,12.633153108103885,0.046879394943275934,0,68.3964285084515,9.36283297050572,0,0,6.276572085354161,3.2703201375981656,0.046879394943275934,0
AL,01,2003,57.39556833453136,8.069444010375973,0,0,52.46692998831351,5.414696731935292,0,0,4.928638346217852,2.6547472784406807,0,0
AL,01,2004,49.6737194111948,11.791855486451855,0.02925274244460418,0,45.06744212686303,8.3284052080802,0,0,4.6062772843317745,3.4634502783716545,0.02925274244460418,0
AL,01,2005,66.08007000656312,22.88233271869238,1.3461887051911117,0,61.85216809032333,21.753253366390908,0.5478844283289988,0,4.227901916239787,1.1290793523014706,0.7983042768621129,0
AL,01,2006,70.92739944369785,21.775510204081634,0.059005531768603306,0,66.19395651008288,17.221952952496455,0.01617677843136535,0,4.733442933614967,4.553557251585179,0.04282875333723796,0
AL,01,2007,62.372972466168704,21.4066943775979,1.5035159546207457,0,58.887627438559846,19.33452953664153,0.9955282012651835,0,3.485345027608858,2.072164840956372,0.5079877533555622,0
AL,01,2008,54.66287464449792,8.708878957402256,0.005000468793949432,0,47.86780611105153,6.835953114382882,0.0037081890871233686,0,6.79506853344639,1.8729258430193738,0.0012922797068260637,0
