STATE,state,year,fed_prison_type,wbgt_26_prison,wbgt_28_prison,wbgt_30_prison,wbgt_35_prison,wbgt_26_state,wbgt_28_state,wbgt_30_state,wbgt_35_state,wbgt_26_diff,wbgt_28_diff,wbgt_30_diff,wbgt_35_diff
AL,01,1982,Administrative facility,79,20,0,0,67.25325475985701,10.088192120505598,0,0,11.746745240142985,9.911807879494402,0,0
AL,01,1982,FCI,77.07087378640777,19.225728155339805,0,0,67.25325475985701,10.088192120505598,0,0,9.817619026550759,9.137536034834207,0,0
AL,01,1982,Work camp,74.83702213279678,17.364185110663986,0,0,67.25325475985701,10.088192120505598,0,0,7.583767372939761,7.275992990158388,0,0
AL,01,1983,Administrative facility,57,27,1,0,56.22108690678935,21.890994128263134,1.3104537251213746,0,0.7789130932106474,5.109005871736866,-0.3104537251213746,0
AL,01,1983,FCI,65.38058252427184,30.995631067961163,4.075242718446602,0,56.22108690678935,21.890994128263134,1.3104537251213746,0,9.159495617482492,9.104636939698029,2.7647889933252277,0
AL,01,1983,Work camp,63.89134808853119,29.382293762575454,3.454728370221328,0,56.22108690678935,21.890994128263134,1.3104537251213746,0,7.670261181741836,7.49129963431232,2.1442746450999532,0
AL,01,1984,Administrative facility,60,11,0,0,46.80804354306404,3.9406331245321713,0,0,13.191956456935962,7.059366875467829,0,0
AL,01,1984,FCI,64.99563106796117,10.920388349514564,0,0,46.80804354306404,3.9406331245321713,0,0,18.187587524897133,6.979755224982393,0,0
AL,01,1984,Work camp,63.38229376257545,9.927565392354126,0,0,46.80804354306404,3.9406331245321713,0,0,16.574250219511413,5.986932267821954,0,0
AL,01,1985,Administrative facility,67,13,2,0,60.946917575887866,9.166539837620222,0.34242986664196373,0,6.053082424112134,3.8334601623797777,1.6575701333580364,0
AL,01,1985,FCI,71.15485436893204,26.075242718446603,1.3849514563106795,0,60.946917575887866,9.166539837620222,0.34242986664196373,0,10.20793679304417,16.908702880826382,1.0425215896687159,0
AL,01,1985,Work camp,71.5271629778672,25.45472837022133,1.5090543259557343,0,60.946917575887866,9.166539837620222,0.34242986664196373,0,10.58024540197934,16.288188532601104,1.1666244593137707,0
AL,01,1986,Administrative facility,93,26,3,0,76.13189105390585,19.73253686786493,1.4556716284793483,0,16.868108946094154,6.26746313213507,1.5443283715206517,0
AL,01,1986,FCI,86.38495145631067,27.924757281553397,1.6150485436893205,0,76.13189105390585,19.73253686786493,1.4556716284793483,0,10.253060402404827,8.192220413688467,0.15937691520997221,0
AL,01,1986,Work camp,86.50905432595573,28.54527162977867,1.4909456740442657,0,76.13189105390585,19.73253686786493,1.4556716284793483,0,10.377163272049884,8.812734761913742,0.03527404556491742,0
AL,01,1987,Administrative facility,81,45,6,0,60.52979952013142,20.710239620488405,0.13757096042952074,0,20.47020047986858,24.289760379511595,5.862429039570479,0
AL,01,1987,FCI,69.1504854368932,31.995631067961163,1,0,60.52979952013142,20.710239620488405,0.13757096042952074,0,8.620685916761786,11.285391447472758,0.8624290395704792,0
AL,01,1987,Work camp,67.90945674044265,30.382293762575454,1,0,60.52979952013142,20.710239620488405,0.13757096042952074,0,7.3796572203112305,9.672054142087049,0.8624290395704792,0
AL,01,1988,Administrative facility,82,25,1,0,60.413619914202684,12.889172748242874,0.030094917818575106,0,21.586380085797316,12.110827251757126,0.9699050821814249,0
AL,01,1988,FCI,66.68592233009709,21.61504854368932,0,0,60.413619914202684,12.889172748242874,0.030094917818575106,0,6.272302415894401,8.725875795446445,-0.030094917818575106,0
AL,01,1988,Work camp,64.32796780684104,21.490945674044266,0,0,60.413619914202684,12.889172748242874,0.030094917818575106,0,3.914347892638361,8.601772925801392,-0.030094917818575106,0
AL,01,1989,Administrative facility,81,35,5,0,54.0098783223526,13.720626990111505,0.14935789167838434,0,26.9901216776474,21.279373009888495,4.850642108321615,0
AL,01,1989,FCI,57.0752427184466,17.535436893203883,0,0,54.0098783223526,13.720626990111505,0.14935789167838434,0,3.0653643960940045,3.814809903092378,-0.14935789167838434,0
AL,01,1989,Work camp,56.454728370221325,16.41851106639839,0,0,54.0098783223526,13.720626990111505,0.14935789167838434,0,2.4448500478687265,2.6978840762868863,-0.14935789167838434,0
AL,01,1990,Administrative facility,101,61,8,0,73.07419726398777,21.55463864070982,0.19113345374322077,0,27.92580273601223,39.44536135929018,7.8088665462567795,0
AL,01,1990,FCI,80.84514563106796,25.150485436893202,0.6150485436893204,0,73.07419726398777,21.55463864070982,0.19113345374322077,0,7.770948367080194,3.595846796183384,0.4239150899460996,0
AL,01,1990,Work camp,80.4728370221328,23.909456740442657,0.4909456740442656,0,73.07419726398777,21.55463864070982,0.19113345374322077,0,7.398639758145023,2.3548180997328387,0.2998122203010448,0
AL,01,1991,Administrative facility,102,49,2,0,67.6732405402478,16.03671219148527,0,0,34.326759459752196,32.96328780851473,2,0
AL,01,1991,FCI,81.30533980582524,24.075242718446603,0,0,67.6732405402478,16.03671219148527,0,0,13.632099265577438,8.038530526961331,0,0
AL,01,1991,Work camp,80.43661971830986,23.45472837022133,0,0,67.6732405402478,16.03671219148527,0,0,12.763379178062053,7.418016178736057,0,0
AL,01,1992,Administrative facility,70,13,0,0,41.301398117579765,5.635146150205561,0,0,28.698601882420235,7.364853849794439,0,0
AL,01,1992,FCI,42.99563106796116,9.23009708737864,0,0,41.301398117579765,5.635146150205561,0,0,1.694232950381398,3.5949509371730795,0,0
AL,01,1992,Work camp,41.38229376257545,8.981891348088531,0,0,41.301398117579765,5.635146150205561,0,0,0.08089564499568525,3.3467451978829708,0,0
AL,01,1993,Administrative facility,100,38,5,0,71.67236216963497,22.28535461755274,1.0657085255998644,0,28.327637830365035,15.714645382447259,3.9342914744001356,0
AL,01,1993,FCI,75.46019417475728,31.535436893203883,3.230097087378641,0,71.67236216963497,22.28535461755274,1.0657085255998644,0,3.7878320051223113,9.250082275651142,2.1643885617787766,0
AL,01,1993,Work camp,74.96378269617706,30.41851106639839,2.9818913480885314,0,71.67236216963497,22.28535461755274,1.0657085255998644,0,3.2914205265420975,8.13315644884565,1.916182822488667,0
AL,01,1994,Administrative facility,76,10,0,0,34.7948075091738,0.9645533139181016,0,0,41.2051924908262,9.0354466860819,0,0
AL,01,1994,FCI,51.92038834951456,3.075242718446602,0,0,34.7948075091738,0.9645533139181016,0,0,17.12558084034076,2.1106894045285003,0,0
AL,01,1994,Work camp,50.927565392354126,2.454728370221328,0,0,34.7948075091738,0.9645533139181016,0,0,16.132757883180325,1.4901750563032263,0,0
AL,01,1995,Administrative facility,97,43,7,0,68.15067119716998,25.266066142245393,2.269470536212996,0,28.849328802830016,17.733933857754607,4.730529463787004,0
AL,01,1995,FCI,74.61067961165048,39.76116504854369,4.61504854368932,0,68.15067119716998,25.266066142245393,2.269470536212996,0,6.460008414480498,14.495098906298296,2.345578007476324,0
AL,01,1995,Work camp,72.87323943661971,36.78269617706238,4.490945674044266,0,68.15067119716998,25.266066142245393,2.269470536212996,0,4.722568239449728,11.516630034816984,2.22147513783127,0
AL,01,1996,Administrative facility,75,17,0,0,52.805353926090866,9.092581287626105,0.03411048735402676,0,22.194646073909134,7.907418712373895,-0.03411048735402676,0
AL,01,1996,FCI,59.380582524271844,13.150485436893204,0.6150485436893204,0,52.805353926090866,9.092581287626105,0.03411048735402676,0,6.575228598180978,4.057904149267099,0.5809380563352936,0
AL,01,1996,Work camp,57.89134808853119,11.909456740442655,0.4909456740442656,0,52.805353926090866,9.092581287626105,0.03411048735402676,0,5.085994162440322,2.81687545281655,0.4568351866902388,0
AL,01,1997,Administrative facility,78,32,3,0,53.99784085614827,13.113935303524434,0.8441464902751529,0,24.002159143851728,18.886064696475565,2.1558535097248472,0
