STATE,state,fed_prison_type,wbgt_26_pop_mean,wbgt_28_pop_mean,wbgt_30_pop_mean,wbgt_35_pop_mean
WV,54,Administrative facility,4.6,0,0,0
WV,54,FCI,3.404957678355502,0.06357315598548972,0,0
WV,54,USP,0,0,0,0
WV,54,Work camp,2.8068728522336768,0.04398625429553264,0,0
WI,55,FCI,6.6,0.8,0,0
WI,55,Work camp,6.6,0.8,0,0
WA,53,Administrative facility,0.2,0,0,0
WA,53,ICE facility,0.2,0,0,0
VA,51,FCI,50.6,15.6,0.6,0
VA,51,USP,5.6,0,0,0
