FID,ice_facility,usp,fci,aux_camp,private,admin_facility,closed_inactive,ice_private
2415,0,0,1,0,0,0,0,0
3311,0,0,0,0,0,1,0,0
5338,0,0,1,0,0,0,0,0
4832,0,0,0,1,0,0,0,0
2402,1,0,0,0,0,0,0,0
2525,1,0,0,0,0,0,0,0
1276,1,0,0,0,0,0,0,0
3188,1,0,0,0,0,0,0,0
3665,0,0,0,0,1,0,0,0
4003,1,0,0,0,0,0,0,0
3275,1,0,0,0,0,0,0,0
1358,0,0,0,0,1,0,1,0
5023,0,0,0,0,0,1,0,0
632,0,0,0,0,0,1,0,0
5485,0,0,0,0,0,1,0,0
2961,0,0,0,0,0,1,0,0
5025,0,0,0,0,1,0,0,0
2677,0,0,0,0,0,1,0,0
3314,0,0,0,0,0,1,0,0
363,0,0,0,0,1,0,0,0
210,1,0,0,0,0,0,0,0
1357,1,0,0,0,0,0,0,0
4288,1,0,0,0,0,0,0,0
1535,1,0,0,0,0,0,0,0
3006,1,0,0,0,0,0,0,0
2460,0,1,0,0,0,0,0,0
5131,0,1,0,0,0,0,0,0
5130,0,0,0,1,0,0,0,0
5481,0,1,0,0,0,0,0,0
2524,0,0,0,1,0,0,0,0
5153,0,1,0,0,0,0,0,0
3591,0,0,0,1,0,0,0,0
6004,0,1,0,0,0,0,0,0
6009,0,0,0,1,0,0,0,0
3462,0,1,0,0,0,0,0,0
3502,0,0,0,1,0,0,0,0
2519,0,1,0,0,0,0,0,0
3604,0,1,0,0,0,0,0,0
3318,0,1,0,0,0,0,0,0
3319,0,1,0,0,0,0,0,0
5472,0,1,0,0,0,0,0,0
5443,0,0,0,1,0,0,0,0
6138,0,1,0,0,0,0,0,0
2918,0,0,0,1,0,0,0,0
2296,0,1,0,0,0,0,0,0
2300,0,0,0,1,0,0,0,0
3307,0,1,0,0,0,0,0,0
3308,0,0,0,1,0,0,0,0
5567,0,1,0,0,0,0,0,0
3315,0,0,0,1,0,0,0,0
3344,0,0,0,1,0,0,0,0
5003,0,1,0,0,0,0,0,0
4089,0,0,0,1,0,0,0,0
6010,0,1,0,0,0,0,0,0
6011,0,0,0,1,0,0,0,0
5307,0,1,0,0,0,0,0,0
5327,0,0,0,1,0,0,0,0
644,0,1,0,0,0,0,0,0
3298,0,1,0,0,0,0,0,0
3340,0,0,0,1,0,0,0,0
3148,0,1,0,0,0,0,0,0
745,0,1,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0
1260,1,0,0,0,0,0,0,0
2514,0,0,0,0,1,0,0,0
2513,0,0,0,0,1,0,1,0
